1,(주)베이징코야,"서울특별시 종로구 율곡로2길 29-1, 지하1층 (수송동)",중식,,
2,(주)석파랑,"서울특별시 종로구 자하문로 309, 1층 (홍지동)",한식,,
3,(주)토속촌삼계탕,"서울특별시 종로구 자하문로5길 5, 지상1층 (체부동, (체부동 86-1,2,3))",한식,,
4,감촌,"서울특별시 종로구 종로 19, 5층 511호 일부, 512호 (종로1가)",한식,,
5,고창선운사풍천장어금정,서울특별시 종로구 대학로2길 38 (종로5가),한식,,
6,궁나라냉면.묵밥,"서울특별시 종로구 지봉로12길 6, 1층 (숭인동)",한식,,
7,금해 복집,"서울특별시 종로구 진흥로 461, 1,2층 (구기동)",일식,,
8,김가네대청마루,서울특별시 종로구 인사동4길 17 (경운동),한식,,
9,끄티집,"서울특별시 종로구 삼일대로19길 20, 1~4층 (관철동)",한식,,
10,나무향기,"서울특별시 종로구 세종대로23길 47, 1층 108호 (당주동)",한식,,
11,나주곰탕,"서울특별시 종로구 지봉로 26-1, 1층 (숭인동)",한식,,
12,남대문막내횟집,서울특별시 종로구 우정국로 4-1 (관철동),일식,,
13,눈나무집,"서울특별시 종로구 삼청로 136-1, 1,2,3층 (삼청동)",한식,,
14,뉘조,"서울특별시 종로구 인사동14길 27, 1층 (관훈동)",한식,,
15,늘마중,"서울특별시 종로구 인사동10길 11-5, 1층 (관훈동)",한식,,
16,다솔,"서울특별시 종로구 종로5길 68, 지하1층 (수송동)",한식,,
17,대가곱창,"서울특별시 종로구 명륜길 53 (명륜3가,(지상1층))",한식,,
18,대륙,"서울특별시 종로구 종로 127-2 (종로3가,지하1층)",경양식,,
19,대송,서울특별시 종로구 자하문로 34 (통의동),일식,,
20,대평갈비,"서울특별시 종로구 평창문화로 83, 지상2,3층 (평창동)",한식,,
21,더레스토랑,"서울특별시 종로구 삼청로 54, 지하1,지상1,2층 (소격동)",경양식,,
22,더불어함께,서울특별시 종로구 대명1길 24 (명륜4가),한식,,
23,동원참치,"서울특별시 종로구 인사동7길 37, 지하1층 (관훈동)",일식,,
24,된장예술과 술,"서울특별시 종로구 대학로11길 9-2, 1,2층 (명륜4가)",분식,,
25,두레유,서울특별시 종로구 평창30길 28 (평창동),경양식,,
26,들풀식당,서울특별시 종로구 자하문로 118 (청운동),한식,,
27,마산아구찜,서울특별시 종로구 자하문로 18-1 (통의동),한식,,
28,마실,서울특별시 종로구 종로 384 (숭인동),한식,,
29,만가,"서울특별시 종로구 사직로 103-19 (필운동,(지상1층))",한식,,
30,말뚜기 감자탕,"서울특별시 종로구 종로51길 23-9, 1층 (창신동)",식육(숯불구이),,
31,명동칼국수,서울특별시 종로구 사직로8길 42 (내수동),경양식,,
32,명원숯불갈비,서울특별시 종로구 통일로12길 8 (행촌동),한식,,
33,명작 신의주 찹쌀순대,"서울특별시 종로구 사직로8길 4 (사직동,풍림스페이스본 202동 지상1층 104호)",한식,,
34,무교삼계탕,서울특별시 종로구 인사동7길 37 (관훈동),한식,,
35,박가네,"서울특별시 종로구 종로32길 7, 2층 (종로5가)",분식,,
36,박가네빈대떡 2호점,"서울특별시 종로구 동호로 403-16, 1~2층 (종로5가)",한식,,
